n_files,file_name,shape,fold,seed,score
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",4,1234,2.975135870106952
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",5,1234,3.3828101783599136
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",6,1234,2.9219882053968442
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",7,1234,2.835091468083308
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",8,1234,2.8082437834809912
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",9,1234,2.9134183688671675
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",10,1234,2.882935325659084
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",11,1234,2.823364907809004
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",12,1234,2.989661387364582
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",13,1234,3.129799635845913
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",14,1234,2.859063795323703
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",15,1234,2.8913099690446815
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",16,1234,3.032549525211029
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",17,1234,2.921314920410966
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",18,1234,2.9288240889483874
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",19,1234,3.501975817436373
6,5d2709a003f801723c3251bf_train.csv,"(3940, 1256)",999,1234,2.9796498627616033
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",0,1234,2.99152897737475
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",1,1234,3.151073653632388
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",2,1234,3.240254477447825
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",3,1234,3.125331448656862
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",4,1234,3.0670839354600155
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",5,1234,3.1944284288786804
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",6,1234,3.0512129659922174
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",7,1234,3.0070849879845585
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",8,1234,3.002684332294917
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",9,1234,3.0590773617753926
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",10,1234,3.0345100287687488
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",11,1234,3.095509776443777
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",12,1234,3.158537046150734
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",13,1234,3.1115534983242923
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",14,1234,3.0729611677882764
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",15,1234,3.240116714314997
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",16,1234,3.2188035699244346
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",17,1234,3.199699150151606
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",18,1234,3.1647879118383853
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",19,1234,3.1131892399502368
7,5d2709b303f801723c327472_train.csv,"(15358, 1917)",999,1234,3.1149683060183477
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",0,1234,3.470289951193388
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",1,1234,3.661850022990946
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",2,1234,3.860354048958171
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",3,1234,3.7942961415280827
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",4,1234,3.7635404094340434
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",5,1234,3.7606851259478775
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",6,1234,3.7262788772845807
8,5d2709bb03f801723c32852c_train.csv,"(17203, 2456)",7,1234,3.7576112977087743
